,Unnamed: 0.1,Unnamed: 0,ID,Rodada,Data,Casa,Fora,Gol_Casa,Gol_Fora,Escanteios_Casa,Escanteios_Fora,Cartao_Amarelo_Casa,Cartao_Amarelo_Fora,Cartao_Vermelho_Casa,Cartao_Vermelho_Fora,PrimeiroGol,Posse_De_Bola_Casa,Posse_De_Bola_Fora,AtaquePerigoso_Casa,AtaquePerigoso_Fora,Ataque_Casa,Ataque_Fora,Finalizacao_Gol_Casa,Finalizacao_Gol_Fora,Finalizacao_Casa,Finalizacao_Fora
514,514.0,515.0,2023-10Atlético MineiroBragantino,10,2023/06/10 18:30,Atlético Mineiro,Bragantino,1,1,7,2,2,3,0,0,17' - 1st Goal - Paulinho (Atletico Mineiro) -,61,39,61,32,146,146,8,3,10,5
515,515.0,516.0,2023-10EC BahiaCruzeiro,10,2023/06/10 18:30,EC Bahia,Cruzeiro,2,2,6,5,4,1,0,0,18' - 1st Goal - Kayky (Bahia) -,47,53,47,28,109,112,7,8,7,9
516,516.0,517.0,2023-10CoritibaSantos,10,2023/06/10 16:00,Coritiba,Santos,0,0,8,3,3,1,0,1,,46,54,56,27,119,94,6,3,12,4
517,517.0,518.0,2023-9Vasco da GamaFlamengo,9,2023/06/05 20:00,Vasco da Gama,Flamengo,1,4,4,0,2,0,0,0,14' - 1st Goal - Pulgar (Flamengo) - Shot (Assist: De Arrascaeta),45,55,51,29,123,97,4,5,9,5
518,518.0,519.0,2023-9PalmeirasCoritiba,9,2023/06/04 18:30,Palmeiras,Coritiba,3,1,11,6,4,5,0,0,30' - 1st Goal - Artur (Palmeiras) -,51,49,63,36,116,93,9,4,14,4
519,519.0,520.0,2023-9GoiásCuiabá EC,9,2023/06/04 18:30,Goiás,Cuiabá EC,0,1,4,5,2,3,0,0,54' - 1st Goal - Deyverson (Cuiaba) -,55,45,65,55,116,94,4,8,8,7
520,520.0,521.0,2023-9FluminenseBragantino,9,2023/06/04 16:00,Fluminense,Bragantino,2,1,6,7,5,2,0,0,27' - 1st Goal - Ganso (Fluminense) -,51,49,63,49,95,109,4,3,7,14
521,521.0,522.0,2023-9GrêmioSão Paulo,9,2023/06/04 16:00,Grêmio,São Paulo,2,1,7,8,2,1,0,0,15' - 1st Goal - Calleri (Sao Paulo) -,40,60,48,54,90,131,8,3,15,14
522,522.0,523.0,2023-9SantosInternacional,9,2023/06/03 21:00,Santos,Internacional,1,1,5,5,2,4,0,0,3' - 1st Goal - Luiz Adriano (Internacional) -,56,44,60,34,160,95,5,3,14,5
523,523.0,524.0,2023-9Athletico ParanaenseBotafogo,9,2023/06/03 18:30,Athletico Paranaense,Botafogo,1,0,6,7,3,1,0,0,42' - 1st Goal - Santana (Athletico Paranaense) - Shot (Assist: Vitor Roque),48,52,36,35,111,88,7,4,9,8
524,524.0,525.0,2023-9América MineiroCorinthians,9,2023/06/03 18:30,América Mineiro,Corinthians,2,0,2,3,1,0,0,0,74' - 1st Goal - Avelar (America MG) -,30,70,41,46,109,144,7,2,8,4
525,525.0,526.0,2023-9CruzeiroAtlético Mineiro,9,2023/06/03 18:30,Cruzeiro,Atlético Mineiro,0,1,12,4,4,5,0,0,27' - 1st Goal - Hulk (Atletico Mineiro) -,65,35,64,22,131,64,6,5,14,4
526,526.0,527.0,2023-9Fortaleza ECEC Bahia,9,2023/06/03 16:00,Fortaleza EC,EC Bahia,0,0,8,4,2,3,0,0,,54,46,43,26,130,92,3,2,9,5
527,527.0,528.0,2023-8BotafogoAmérica Mineiro,8,2023/05/28 19:00,Botafogo,América Mineiro,2,0,7,0,2,3,0,0,3' - 1st Goal - Junior Santos (Botafogo) -,55,45,49,34,113,124,6,1,13,3
528,528.0,529.0,2023-8BragantinoSantos,8,2023/05/28 18:30,Bragantino,Santos,2,0,5,4,2,1,0,0,31' - 1st Goal - Vitinho (Bragantino) - Shot (Assist: Eduardo Sasha),59,41,64,20,146,81,9,1,7,8
529,529.0,530.0,2023-8Atlético MineiroPalmeiras,8,2023/05/28 18:30,Atlético Mineiro,Palmeiras,1,1,3,3,3,3,0,0,45' - 1st Goal - Pavon (Atletico Mineiro) -,58,42,41,30,125,98,4,3,5,9
530,530.0,531.0,2023-8InternacionalEC Bahia,8,2023/05/28 16:00,Internacional,EC Bahia,2,0,2,7,1,2,0,0,49' - 1st Goal - Johnny (Internacional) -,44,56,27,48,110,124,2,3,3,5
531,531.0,532.0,2023-8CorinthiansFluminense,8,2023/05/28 16:00,Corinthians,Fluminense,2,0,7,6,4,2,0,0,59' - 1st Goal - Roger Guedes (Corinthians) -,30,70,31,71,58,155,4,5,10,17
