Data,Horário,Rodada,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado Final,Total_Gols,Gols_Mandante_Primeiro_Tempo,Gols_Visitante_Primeiro_Tempo,Resultado_Primeiro_Tempo,Total_Gols_Primeiro_Tempo,Posição_Mandante,Posição_Visitante,Minuto_Gols_Mandante,Minuto_Gols_Visitante,Jogador_Mandante_Gols,Jogador_Visitante_Gols,Gols_Mandante_Prorrogação,Gols_Visitante_Prorrogação,Gols_Mandante_Pênaltis,Gols_Visitante_Pênaltis,Primeiro_Time_Marcador,Árbitro,Público
16/05/2026,18:30,16,Internacional,Vasco da Gama,4,1,M,5,2,0,M,2,14,8,"21, 24, 62, 71",85,"Johan Carbonero, Alerrandro, Alexandro Bernabei, Johan Carbonero",Andrés Gómez,0,0,0,0,Internacional,Ramon Abatti Abel,21411
16/05/2026,19:00,16,Fluminense,São Paulo,2,1,M,3,2,0,M,2,3,4,"19, 44",79,"John Kennedy, Agustín Canobbio",Matheus Dória,0,0,0,0,Fluminense,Wilton Pereira Sampaio,28218
16/05/2026,21:00,16,Palmeiras,Cruzeiro,1,1,E,2,1,1,E,2,1,11,20,11,Felipe Anderson,Keny Arroyo,0,0,0,0,Cruzeiro,Sávio Pereira Sampaio,27657
17/05/2026,11:00,16,Santos,Coritiba,0,3,V,3,0,3,V,3,15,9,,"5, 20, 39",,"Breno Lopes, Breno Lopes, Josué",0,0,0,0,Coritiba,Paulo Cesar Zanovelli,45360
17/05/2026,16:00,16,Botafogo,Corinthians,3,1,M,4,2,1,M,3,12,16,"7, 32, 70",11,"Arthur Cabral, Arthur Cabral, Arthur Cabral",Rodrigo Garro,0,0,0,0,Botafogo,Felipe Fernandes de Lima,17556
17/05/2026,16:00,16,Bahia,Grêmio,1,1,E,2,0,0,E,0,6,17,72,62,Mateo Sanabria,Viery,0,0,0,0,Grêmio,Fernando Antonio Mendes,26927
17/05/2026,18:30,16,Bragantino,Vitória,2,0,M,2,1,0,M,1,7,10,"41, 90+10",,"Tiago Volpi, Lucas Barbosa",,0,0,0,0,Bragantino,Wagner do Nascimento Magalhães,1793
17/05/2026,18:30,16,Chapecoense,Remo,2,3,V,5,1,1,E,2,20,19,"24, 47","16, 51, 87","Neto Pessoa, Carvalheira","Yago Pikachu, Jajá, Bruno Leonardo",0,0,0,0,Remo,Alex Gomes Stefano,9202
17/05/2026,19:30,16,Athletico-PR,Flamengo,1,1,E,2,1,0,M,1,5,2,11,84,Stiven Mendoza,Pedro,0,0,0,0,Athletico-PR,Rafael Rodrigo Klein,34197
23/05/2026,17:00,17,São Paulo,Botafogo,1,1,E,2,1,0,M,1,4,9,4,90,Luciano,Jordan Barrera,0,0,0,0,São Paulo,Lucas Casagrande,25338
