Data,Horário,Rodada,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado Final,Total_Gols,Gols_Mandante_Primeiro_Tempo,Gols_Visitante_Primeiro_Tempo,Resultado_Primeiro_Tempo,Total_Gols_Primeiro_Tempo,Posição_Mandante,Posição_Visitante,Minuto_Gols_Mandante,Minuto_Gols_Visitante,Jogador_Mandante_Gols,Jogador_Visitante_Gols,Gols_Mandante_Prorrogação,Gols_Visitante_Prorrogação,Gols_Mandante_Pênaltis,Gols_Visitante_Pênaltis,Primeiro_Time_Marcador,Árbitro,Público
14/03/2026,18:30,6,Vitória,Atlético-MG,2,0,M,2,1,0,M,1,16,13,"20, 68",,"Renato Kayzer, Erick",,0,0,0,0,Vitória,João Vitor Gobi,16533
14/03/2026,20:30,6,Botafogo,Flamengo,0,3,V,3,0,2,V,2,17,7,,"13, 45+2, 49",,"Samuel Lino, Léo Pereira, Pedro",0,0,0,0,Flamengo,Anderson Daronco,16176
15/03/2026,16:00,6,Fluminense,Athletico-PR,3,2,M,5,2,1,M,3,4,3,"9, 37, 90+4","5, 75","Hércules, Agustín Canobbio, Guilherme Arana","Stiven Mendoza, Luiz Gustavo",0,0,0,0,Athletico-PR,Matheus Delgado Candançan,24675
15/03/2026,16:00,6,Santos,Corinthians,1,1,E,2,1,1,E,2,14,10,21,18,Gabriel Barbosa,Memphis Depay,0,0,0,0,Corinthians,Flavio Rodrigues de Souza,15008
15/03/2026,16:00,6,Internacional,Bahia,0,1,V,1,0,1,V,1,19,5,,23,,Willian José,0,0,0,0,Bahia,Fernando Antonio Mendes,16574
15/03/2026,18:30,6,Palmeiras,Mirassol,1,0,M,1,1,0,M,1,2,11,26,,José Manuel López,,0,0,0,0,Palmeiras,Rodrigo José Pereira de Lima,35360
15/03/2026,18:30,6,Coritiba,Remo,1,0,M,1,1,0,M,1,8,18,24,,Pedro Rocha,,0,0,0,0,Coritiba,Rafael Rodrigo Klein,28404
15/03/2026,20:30,6,Bragantino,São Paulo,1,2,V,3,1,0,M,1,6,1,36,"53, 68",José Herrera,"Sabino, Jonathan Calleri",0,0,0,0,Bragantino,Bruno Arleu de Araújo,5400
15/03/2026,20:30,6,Cruzeiro,Vasco da Gama,3,3,E,6,1,0,M,1,20,15,"8, 70, 90+4","52, 54, 86","Christian, Néiser Villarreal, Japa","Cauan Barros, Cauan Barros, Brenner",0,0,0,0,Cruzeiro,Lucas Paulo Torezin,22352
16/03/2026,20:00,6,Chapecoense,Grêmio,1,1,E,2,1,1,E,2,12,9,28,45+3,Walter Clar,Juan Nardoni,0,0,0,0,Chapecoense,Bruno Pereira Vasconcelos,19307
18/03/2026,19:00,7,Palmeiras,Botafogo,2,1,M,3,1,0,M,1,2,17,"9, 53",59,"Allan, Jhon Arias",Danilo,0,0,0,0,Palmeiras,Rafael Rodrigo Klein,29450
18/03/2026,19:00,7,Bahia,Bragantino,2,0,M,2,2,0,M,2,4,10,"17, 40",,"Luciano Juba, Erick",,0,0,0,0,Bahia,Ramon Abatti Abel,27857
18/03/2026,19:30,7,Athletico-PR,Cruzeiro,2,1,M,3,2,0,M,2,6,19,"1, 10",58,"Stiven Mendoza, Kevin Viveros",Néiser Villarreal,0,0,0,0,Athletico-PR,Rodrigo José Pereira de Lima,20733
18/03/2026,20:00,7,Mirassol,Coritiba,0,1,V,1,0,0,E,0,13,7,,64,,Joaquín Lavega,0,0,0,0,Coritiba,Bruno Arleu de Araújo,4129
18/03/2026,20:00,7,Atlético-MG,São Paulo,1,0,M,1,0,0,E,0,16,1,64,,Iván Román,,0,0,0,0,Atlético-MG,Fernando Antonio Mendes,36830
18/03/2026,21:30,7,Vasco da Gama,Fluminense,3,2,M,5,0,1,V,1,15,3,"59, 88, 90+5","1, 54","Nuno Moreira, Claudio Spinelli, Thiago Mendes","Agustín Canobbio, Hércules",0,0,0,0,Fluminense,Raphael Claus,38449
18/03/2026,21:30,7,Santos,Internacional,1,2,V,3,0,0,E,0,14,20,56,"46, 90+5",Neymar,"Zé Ivaldo, Johan Carbonero",0,0,0,0,Internacional,Davi de Oliveira Lacerda,10031
19/03/2026,19:00,7,Grêmio,Vitória,2,0,M,2,1,0,M,1,8,11,"27, 54",,"Camutanga, Francis Amuzu",,0,0,0,0,Grêmio,Alex Gomes Stefano,20206
19/03/2026,20:00,7,Flamengo,Remo,3,0,M,3,1,0,M,1,5,18,"19, 48, 54",,"Léo Ortiz, Samuel Lino, Luiz Araújo",,0,0,0,0,Flamengo,Paulo Cesar Zanovelli,62075
19/03/2026,21:30,7,Chapecoense,Corinthians,0,0,E,0,0,0,E,0,12,9,,,,,0,0,0,0,-,Wilton Pereira Sampaio,18031
21/03/2026,16:00,8,Bragantino,Botafogo,1,2,V,3,1,1,E,2,12,18,15,"8, 71",Lucas Barbosa,"Alex Telles, Alexander Barboza",0,0,0,0,Botafogo,Lucas Casagrande,4080
21/03/2026,18:30,8,Fluminense,Atlético-MG,1,0,M,1,1,0,M,1,6,11,29,,Rodrigo Castillo,,0,0,0,0,Fluminense,Flavio Rodrigues de Souza,22025
21/03/2026,21:00,8,São Paulo,Palmeiras,0,1,V,1,0,1,V,1,2,1,,6,,Jhon Arias,0,0,0,0,Palmeiras,Anderson Daronco,54210
22/03/2026,16:00,8,Vasco da Gama,Grêmio,2,1,M,3,2,1,M,3,10,8,"7, 34",38,"Cuiabano, David",Carlos Vinícius,0,0,0,0,Vasco da Gama,Davi de Oliveira Lacerda,20650
22/03/2026,16:00,8,Cruzeiro,Santos,0,0,E,0,0,0,E,0,19,16,,,,,0,0,0,0,-,Ramon Abatti Abel,43252
22/03/2026,16:00,8,Athletico-PR,Coritiba,2,0,M,2,1,0,M,1,5,7,"22, 56",,"Dudu, Kevin Viveros",,0,0,0,0,Athletico-PR,Raphael Claus,31885
22/03/2026,16:00,8,Remo,Bahia,4,1,M,5,1,1,E,2,20,3,"45+9, 49, 58, 83",32,"Vitor Bueno, Gabriel Taliari, Gabriel Taliari, Jajá",Everaldo,0,0,0,0,Bahia,João Vitor Gobi,22447
22/03/2026,18:30,8,Internacional,Chapecoense,2,0,M,2,1,0,M,1,17,14,"28, 51",,"Gabriel Mercado, Alan Patrick",,0,0,0,0,Internacional,Bruno Arleu de Araújo,16736
22/03/2026,18:30,8,Vitória,Mirassol,1,0,M,1,1,0,M,1,13,15,28,,Baralhas,,0,0,0,0,Vitória,Wagner do Nascimento Magalhães,17837
22/03/2026,20:30,8,Corinthians,Flamengo,1,1,E,2,1,1,E,2,9,4,19,3,Yuri Alberto,Lucas Paquetá,0,0,0,0,Flamengo,Rodrigo José Pereira de Lima,41896
01/04/2026,19:30,9,Botafogo,Mirassol,3,2,M,5,2,1,M,3,17,18,"11, 43, 66","21, 90+2","Arthur Cabral, Alex Telles, Júnior Santos","Shaylon, Igor Formiga",0,0,0,0,Botafogo,Wilton Pereira Sampaio,4572
01/04/2026,19:30,9,Internacional,São Paulo,1,1,E,2,1,0,M,1,12,3,23,87,Alerrandro,Jonathan Calleri,0,0,0,0,Internacional,Lucas Casagrande,14780
01/04/2026,20:00,9,Cruzeiro,Vitória,3,0,M,3,3,0,M,3,20,10,"33, 36, 39",,"Christian, Kauã Moraes, Kaio Jorge",,0,0,0,0,Cruzeiro,Yuri Elino Ferreira da Cruz,23907
01/04/2026,20:00,9,Bahia,Athletico-PR,3,0,M,3,2,0,M,2,6,2,"3, 35, 90+3",,"Everaldo, Everaldo, Luciano Juba",,0,0,0,0,Bahia,Jonathan Benkenstein Pinheiro,29316
01/04/2026,20:30,9,Coritiba,Vasco da Gama,1,1,E,2,0,1,V,1,7,9,90,24,Alan Saldivia,Tchê Tchê,0,0,0,0,Vasco da Gama,Ramon Abatti Abel,27224
01/04/2026,21:30,9,Fluminense,Corinthians,3,1,M,4,2,0,M,2,4,11,"20, 45+3, 83",89,"John Kennedy, Hércules, Rodrigo Castillo",André,0,0,0,0,Fluminense,Davi de Oliveira Lacerda,24701
02/04/2026,19:00,9,Santos,Remo,2,0,M,2,1,0,M,1,16,19,"40, 82",,"Thaciano, Moisés",,0,0,0,0,Santos,Sávio Pereira Sampaio,12242
02/04/2026,19:00,9,Chapecoense,Atlético-MG,0,4,V,4,0,3,V,3,15,13,,"23, 30, 35, 90+5",,"Bernard, Reinier, Tomás Cuello, Dudu",0,0,0,0,Atlético-MG,João Vitor Gobi,10614
02/04/2026,21:30,9,Palmeiras,Grêmio,2,1,M,3,1,0,M,1,1,8,"44, 72",54,"Marlon Freitas, Marlon Freitas",Carlos Vinícius,0,0,0,0,Palmeiras,Bruno Arleu de Araújo,13572
02/04/2026,21:30,9,Bragantino,Flamengo,3,0,M,3,2,0,M,2,14,5,"17, 39, 55",,"Isidro Pitta, Gabriel, Lucas Barbosa",,0,0,0,0,Bragantino,Fernando Antonio Mendes,5854
04/04/2026,18:30,10,São Paulo,Cruzeiro,4,1,M,5,2,0,M,2,4,17,"12, 16, 62, 90+1",47,"Jonathan Calleri, Ferreirinha, Ferreirinha, Ferreirinha",Christian,0,0,0,0,São Paulo,Rodrigo José Pereira de Lima,36550
04/04/2026,20:30,10,Coritiba,Fluminense,1,1,E,2,0,0,E,0,7,2,74,81,Tiago Cóser,John Kennedy,0,0,0,0,Coritiba,Rafael Rodrigo Klein,24693
04/04/2026,21:00,10,Vasco da Gama,Botafogo,1,2,V,3,0,0,E,0,8,15,61,"66, 79",David,"Lucas Villalba, Matheus Martins",0,0,0,0,Vasco da Gama,Wagner do Nascimento Magalhães,20072
05/04/2026,16:00,10,Chapecoense,Vitória,1,1,E,2,0,0,E,0,18,12,87,90+3,Neto Pessoa,Matheuzinho,0,0,0,0,Chapecoense,Jonathan Benkenstein Pinheiro,9484
05/04/2026,17:30,10,Flamengo,Santos,3,1,M,4,0,0,E,0,6,13,"64, 71, 89",48,"Pedro, Jorginho, Lucas Paquetá",Lautaro Díaz,0,0,0,0,Santos,Anderson Daronco,68615
05/04/2026,17:30,10,Atlético-MG,Athletico-PR,2,1,M,3,1,0,M,1,9,5,"6, 80",88,"Victor Hugo, Gustavo Scarpa",Julimar,0,0,0,0,Atlético-MG,Matheus Delgado Candançan,29356
05/04/2026,19:30,10,Corinthians,Internacional,0,1,V,1,0,0,E,0,14,16,,78,,Alexandro Bernabei,0,0,0,0,Internacional,Felipe Fernandes de Lima,32213
05/04/2026,19:30,10,Bahia,Palmeiras,1,2,V,3,0,1,V,1,3,1,58,"42, 88",David Duarte,"Jhon Arias, Santiago Ramos Mingo",0,0,0,0,Palmeiras,Lucas Casagrande,41387
05/04/2026,20:00,10,Mirassol,Bragantino,0,1,V,1,0,0,E,0,19,11,,51,,Isidro Pitta,0,0,0,0,Bragantino,Flavio Rodrigues de Souza,3597
05/04/2026,20:30,10,Grêmio,Remo,0,0,E,0,0,0,E,0,10,20,,,,,0,0,0,0,-,Edina Alves Batista,23251
11/04/2026,16:30,11,Vitória,São Paulo,2,0,M,2,1,0,M,1,14,2,"35, 83",,"Cacá, Ramon",,0,0,0,0,Vitória,Anderson Daronco,18102
11/04/2026,16:30,11,Remo,Vasco da Gama,1,1,E,2,0,0,E,0,18,12,84,54,Marllon,Andrés Gómez,0,0,0,0,Vasco da Gama,Rodrigo José Pereira de Lima,35305
11/04/2026,18:30,11,Mirassol,Bahia,1,2,V,3,1,0,M,1,20,5,14,"65, 89",David Duarte,"Luciano Juba, Mateo Sanabria",0,0,0,0,Mirassol,Paulo Cesar Zanovelli,4276
11/04/2026,20:00,11,Santos,Atlético-MG,1,0,M,1,0,0,E,0,15,8,63,,Moisés,,0,0,0,0,Santos,Rafael Rodrigo Klein,12175
11/04/2026,20:30,11,Internacional,Grêmio,0,0,E,0,0,0,E,0,13,11,,,,,0,0,0,0,-,Bruno Arleu de Araújo,39135
12/04/2026,11:00,11,Athletico-PR,Chapecoense,2,0,M,2,0,0,E,0,6,17,"57, 81",,"Stiven Mendoza, Kevin Viveros",,0,0,0,0,Athletico-PR,André Luiz Skettino Policarpo Bento,24630
12/04/2026,16:00,11,Botafogo,Coritiba,2,2,E,4,0,1,V,1,10,7,"55, 77","33, 79","Danilo, Arthur Cabral","Breno Lopes, Joaquín Lavega",0,0,0,0,Coritiba,Davi de Oliveira Lacerda,14695
12/04/2026,18:00,11,Fluminense,Flamengo,1,2,V,3,0,1,V,1,3,4,76,"7, 51",Jefferson Savarino,"Pedro, Pedro",0,0,0,0,Flamengo,Raphael Claus,44833
12/04/2026,18:30,11,Corinthians,Palmeiras,0,0,E,0,0,0,E,0,16,1,,,,,0,0,0,0,-,Flavio Rodrigues de Souza,46263
12/04/2026,18:30,11,Cruzeiro,Bragantino,2,1,M,3,1,1,E,2,19,9,"18, 50",6,"Néiser Villarreal, Christian",José Andrés Hurtado,0,0,0,0,Bragantino,Ramon Abatti Abel,38674
18/04/2026,18:30,12,Vasco da Gama,São Paulo,2,1,M,3,0,1,V,1,13,3,"72, 88",10,"José Luis Rodríguez, Andrés Gómez",Luciano,0,0,0,0,São Paulo,Sávio Pereira Sampaio,20067
18/04/2026,18:30,12,Chapecoense,Botafogo,1,4,V,5,1,3,V,4,19,11,45+3,"10, 14, 20, 80",Marcinho,"Edenilson, Matheus Martins, Edenilson, Matheus Martins",0,0,0,0,Botafogo,Matheus Delgado Candançan,10184
18/04/2026,20:00,12,Vitória,Corinthians,0,0,E,0,0,0,E,0,10,16,,,,,0,0,0,0,-,Alex Gomes Stefano,21991
18/04/2026,20:30,12,Cruzeiro,Grêmio,2,0,M,2,0,0,E,0,17,12,"51, 66",,"Christian, Lucas Romero",,0,0,0,0,Cruzeiro,Raphael Claus,28279
19/04/2026,11:00,12,Internacional,Mirassol,1,2,V,3,0,2,V,2,14,20,90+3,"22, 45",Alan Patrick,"Lucas Oliveira, André Luis",0,0,0,0,Mirassol,Davi de Oliveira Lacerda,30052
19/04/2026,16:00,12,Santos,Fluminense,2,3,V,5,1,1,E,2,15,4,"9, 57","24, 60, 86","Gabriel Barbosa, Álvaro Barreal","Jefferson Savarino, Rodrigo Castillo, John Kennedy",0,0,0,0,Santos,Wilton Pereira Sampaio,14179
19/04/2026,16:00,12,Coritiba,Atlético-MG,2,0,M,2,1,0,M,1,7,8,"7, 58",,"Breno Lopes, Pedro Rocha",,0,0,0,0,Coritiba,Fernando Antonio Mendes,28426
19/04/2026,18:30,12,Palmeiras,Athletico-PR,1,0,M,1,1,0,M,1,1,6,15,,Gustavo Gómez,,0,0,0,0,Palmeiras,Felipe Fernandes de Lima,39714
19/04/2026,18:30,12,Bragantino,Remo,4,2,M,6,2,2,E,4,9,18,"19, 37, 47, 51","28, 39","Isidro Pitta, Isidro Pitta, Tchamba, Tchamba","Gabriel Taliari, Marcelinho",0,0,0,0,Bragantino,Jonathan Benkenstein Pinheiro,4163
19/04/2026,19:30,12,Flamengo,Bahia,2,0,M,2,1,0,M,1,2,5,"17, 80",,"Giorgian de Arrascaeta, Lucas Paquetá",,0,0,0,0,Flamengo,Flavio Rodrigues de Souza,64565
25/04/2026,18:30,13,Botafogo,Internacional,2,2,E,4,0,0,E,0,9,14,"54, 65","59, 74","Danilo, Cristian Medina","Johan Carbonero, Alexandro Bernabei",0,0,0,0,Botafogo,Fernando Antonio Mendes,16332
25/04/2026,18:30,13,Bahia,Santos,2,2,E,4,0,2,V,2,5,15,"76, 83","22, 45+4","Luciano Juba, Willian José","Benjamín Rollheiser, Benjamín Rollheiser",0,0,0,0,Santos,Ramon Abatti Abel,45813
25/04/2026,18:30,13,Remo,Cruzeiro,0,1,V,1,0,1,V,1,19,16,,34,,Keny Arroyo,0,0,0,0,Cruzeiro,Wilton Pereira Sampaio,12993
25/04/2026,21:00,13,São Paulo,Mirassol,1,0,M,1,0,0,E,0,4,18,76,,Luciano,,0,0,0,0,São Paulo,Raphael Claus,15700
